"","Year","Total_kcal","ls_share","Animal_kcal"
"1","y1960",NA,NA,NA
"2","y1961",3093,0.402845134173941,1246
"3","y1962",3114,0.407193320488118,1268
"4","y1963",3165,0.394312796208531,1248
"5","y1964",3145,0.394276629570747,1240
"6","y1965",3098,0.39703034215623,1230
"7","y1966",3178,0.384203901825047,1221
"8","y1967",3129,0.379993608181528,1189
"9","y1968",3161,0.387535590003164,1225
"10","y1969",3172,0.389344262295082,1235
"11","y1970",3204,0.373595505617977,1197
"12","y1971",3231,0.387496131228722,1252
"13","y1972",3267,0.390572390572391,1276
"14","y1973",3120,0.38525641025641,1202
"15","y1974",3053,0.365214543072388,1115
"16","y1975",3110,0.381672025723473,1187
"17","y1976",3119,0.378326386662392,1180
"18","y1977",3077,0.356841078973026,1098
"19","y1978",3034,0.362228081740277,1099
"20","y1979",3027,0.346547737033366,1049
"21","y1980",3066,0.3382257012394,1037
"22","y1981",3084,0.341115434500648,1052
"23","y1982",3115,0.343178170144462,1069
"24","y1983",3053,0.349164755977727,1066
"25","y1984",3102,0.344294003868472,1068
"26","y1985",3132,0.337484035759898,1057
"27","y1986",3088,0.348121761658031,1075
"28","y1987",3115,0.344783306581059,1074
"29","y1988",3125,0.34624,1082
"30","y1989",3141,0.351480420248329,1104
"31","y1990",3177,0.350015738117721,1112
"32","y1991",3187.49936256814,0.349703215374179,1114.67877609322
"33","y1992",3197.8778958982,0.349311506376588,1117.0555450246
"34","y1993",3208.14278629958,0.348845202398786,1119.14521961088
"35","y1994",3218.30069961613,0.348308601752157,1120.96181670128
"36","y1995",3228.35782909819,0.347705733094932,1122.51852565935
"37","y1996",3245.9107292035,0.349910939675402,1135.77967335806
"38","y1997",3262.93371677163,0.351846108220189,1148.05052962654
"39","y1998",3279.47309628464,0.353531437068918,1159.39683655836
"40","y1999",3295.56965254507,0.354985135937327,1169.87824109964
"41","y2000",3311.25949265195,0.356223688459283,1179.54906991829
"42","y2001",3324.57542883033,0.356528336566613,1185.30534743111
"43","y2002",3337.63557827483,0.356691800182065,1190.50724276656
"44","y2003",3350.45801422187,0.356723557539771,1195.18730222086
"45","y2004",3363.05915123878,0.356632337755446,1199.37564711613
"46","y2005",3375.45393903399,0.3564261966166,1203.10020934441
"47","y2006",3388.10130864237,0.35626804304796,1207.07222287825
"48","y2007",3400.47999293944,0.355975478108704,1210.4874912857
"49","y2008",3412.61141653765,0.35555922351155,1213.38546541078
"50","y2009",3425.29099569844,0.355291500253666,1216.97677666707
"51","y2010",3437.7116738268,0.354896764962483,1220.03275191489
"52","y2015",3502.98650439825,0.353367235290716,1237.8406563199
"53","y2020",3569.6655399481,0.351257285576396,1253.87102797777
"54","y2025",3629.86999205124,0.346344046185281,1257.18386017356
"55","y2030",3686.59997872236,0.33984143036652,1252.85940995819
"56","y2035",3741.87723905349,0.332500841566949,1244.1773310255
"57","y2040",3797.37990286134,0.324841188856553,1233.54540218546
"58","y2045",3853.58820856375,0.317008987623423,1221.62209671436
"59","y2050",3908.41295990354,0.308623313048955,1206.2273564489
"60","y2055",3963.39990344918,0.300076632225307,1189.32369518914
"61","y2060",4021.06358790831,0.29181702585699,1173.41481700524
"62","y2065",4081.34116014955,0.283767890776112,1158.15357255337
"63","y2070",4143.1918286275,0.275733133229009,1142.41526447629
"64","y2075",4205.29603898322,0.267542592509931,1125.09580454131
"65","y2080",4268.03658968071,0.259279763218944,1106.61551638221
"66","y2085",4331.233742084,0.250952752313291,1086.93502848817
"67","y2090",4395.73864809794,0.242667849451797,1066.70444448608
"68","y2095",4462.26441781363,0.234485293574745,1046.33538201917
"69","y2100",4530.62510437878,0.226377783821883,1025.63287045705
